timestamp,peak,type
2026-05-06 11:27:55.862631,-906.239942782371,beta
2026-05-06 11:27:55.862698,-1275.3828510428123,beta
2026-05-06 11:27:55.862752,-792.0982864761027,beta
2026-05-06 11:27:55.862831,-2272.9930450679785,beta
2026-05-06 11:27:55.862889,-601.9442510550527,beta
2026-05-06 11:27:55.862938,-1829.4576208943454,beta
2026-05-06 11:27:55.862991,-1169.3334681230294,beta
2026-05-06 11:27:55.863047,-1646.5048594085008,beta
2026-05-06 11:27:55.863090,-1202.6058586047452,beta
2026-05-06 11:27:55.863167,-2377.0264128057315,beta
2026-05-06 11:27:55.863221,-1219.1108515621117,beta
2026-05-06 11:27:55.863271,-831.247195246237,beta
2026-05-06 11:27:55.863323,-1570.5443872347864,beta
2026-05-06 11:27:55.863377,-1192.090579645539,beta
2026-05-06 11:27:55.863438,-2047.4867459400325,beta
2026-05-06 11:27:55.863489,-846.6292203237967,beta
2026-05-06 11:27:55.863540,-1266.9870450674039,beta
2026-05-06 11:27:55.863597,-2632.8232993856873,alpha
2026-05-06 11:27:55.863662,-2197.6803851864433,beta
2026-05-06 11:27:55.863707,-738.469771338134,beta
2026-05-06 11:27:55.863759,-807.5625874005962,beta
2026-05-06 11:27:55.863825,-1535.794431645879,beta
2026-05-06 11:27:55.863875,-625.0941928649781,beta
2026-05-06 11:27:55.863926,-1052.4346478322227,beta
2026-05-06 11:27:55.863983,-1557.0009010601254,beta
2026-05-06 11:27:55.864030,-1788.4509350476424,beta
2026-05-06 11:27:55.864082,-684.3459716819976,beta
2026-05-06 11:27:55.864133,-1879.602844483116,beta
2026-05-06 11:27:55.864190,-583.6654255494682,beta
2026-05-06 11:27:55.947306,-565.6820177670115,beta
2026-05-06 11:27:55.947363,-1665.5937449528697,beta
2026-05-06 11:27:55.947424,-416.4145065655499,beta
2026-05-06 11:27:55.947482,-1529.3238862086475,beta
2026-05-06 11:27:55.947532,-1040.322934254767,beta
2026-05-06 11:27:55.947589,-596.2622627806472,beta
2026-05-06 11:27:55.947647,-430.1827616889082,beta
2026-05-06 11:27:55.947700,-1429.7528997572701,beta
2026-05-06 11:27:55.947748,-582.8855005958752,beta
2026-05-06 11:27:55.947817,-586.3560844566193,beta
2026-05-06 11:27:55.947869,-787.784036486212,beta
2026-05-06 11:27:55.947929,-1300.199710793736,beta
2026-05-06 11:27:55.947981,-1996.252699476067,beta
2026-05-06 11:27:55.948033,-1902.4176418396569,beta
2026-05-06 11:27:55.948088,-4300.115898404624,alpha
2026-05-06 11:27:55.948144,-6379.041690030824,alpha
2026-05-06 11:27:55.948192,-5060.7740911661895,alpha
2026-05-06 11:27:55.948252,-6833.140027102455,alpha
2026-05-06 11:27:55.948306,-1341.9252771507604,beta
2026-05-06 11:27:55.948362,-7977.776815606638,alpha
2026-05-06 11:27:55.948425,-3631.537333251582,alpha
2026-05-06 11:27:55.948484,-2734.232570501132,alpha
2026-05-06 11:27:55.948540,-7870.288662625193,alpha
2026-05-06 11:27:55.948598,-6218.780257702323,alpha
2026-05-06 11:27:55.948648,-1655.4429942368376,beta
2026-05-06 11:27:55.948700,-5699.859290444722,alpha
2026-05-06 11:27:55.948748,-771.4931870261227,beta
2026-05-06 11:27:55.948805,-2535.364530340452,alpha
2026-05-06 11:27:55.948860,-7270.169363777497,alpha
2026-05-06 11:27:55.948911,-2887.7552122240654,alpha
2026-05-06 11:27:55.948964,-1252.6218428167715,beta
2026-05-06 11:27:55.949023,-2000.1288444859647,beta
2026-05-06 11:27:55.949080,-7362.216023250422,alpha
2026-05-06 11:27:55.949132,-1177.171671183421,beta
2026-05-06 11:27:55.949182,-794.2210136065046,beta
2026-05-06 11:27:55.949230,-1625.0509562689717,beta
